,Breed,Origin,Fédération Cynologique Internationale[3],American Kennel Club[4],Australian National Kennel Council[5],Canadian Kennel Club[6],The Kennel Club[7],New Zealand Kennel Club[8],United Kennel Club[9],Image
0,Affenpinscher,"Germany, France",Group 02 Section 01 #186,Toy Group,Group 01 (Toys),Group 05 - Toys,Toy,Toy,Companion Dog,
1,Afghan Hound,Afghanistan,Group 10 Section 01 #228,Hound Group,Group 04 (Hounds),Group 02 - Hounds,Hound,Hound,Sighthound and Pariah,
2,Afghan Shepherd,Afghanistan,,,,,,,,
3,Aidi,Morocco,Group 02 Section 02 #247,,,,,,Guardian Dog,
4,Airedale Terrier,United Kingdom (England),Group 03 Section 01 #007,Terrier Group,Group 02 (Terriers),Group 04 - Terriers,Terrier,Terrier,Terrier,
5,Akbash,Turkey,,,,,,,Guardian Dog,
6,Akita,Japan,Group 05 Section 05 #255,See American Akita,Group 06 (Utility),See American Akita,Utility,Utility,Northern Breed,
7,Alano Español,Spain,,,,,,,,
8,Alaskan husky,United States,,,,,,,,
9,Alaskan Klee Kai,United States,,,,,,,Northern Breed,
10,Alaskan Malamute,United States,Group 05 Section 01 #243,Working Group,Group 06 (Utility),Group 03 - Working Dogs,Working,Utility,Northern Breed,
11,Alaunt,Albania,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,
12,Alopekis,Greece,,,,,,,,
13,Alpine Dachsbracke,Austria,Group 06 Section 02 #254,,,,,,Scenthound,
14,Alpine Mastiff,Switzerland,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,
15,Alpine Spaniel,"Switzerland, Savoy",Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,
16,American Akita,Japan/United States,Group 05 Section 05 #344,Working Group,Group 06 (Utility),Group 03 - Working Dogs,Utility,Utility,Northern Breed,
17,American Bully,United States,,,,,,,Companion Dog,
18,American Bulldog,United States,,,,,,,Guardian Dog,
19,American Cocker Spaniel,United States,Group 08 Section 02 #167,Sporting Group,Group 03 (Gundogs),Group 01 - Sporting Dogs,Gundog,Gundog,Gun Dog,
20,American English Coonhound,United States,,Hound Group,,,,,Scenthound,
21,American Eskimo Dog,Germany,,Non-Sporting Group,,"Group 05 - Toys, Group 06 - Non-Sporting",,,Northern Breed,
22,American Foxhound,United States,Group 06 Section 01 #303,Hound Group,,Group 02 - Hounds,,,Scenthound,
23,American Hairless Terrier,United States,,Terrier Group,Group 02 (Terriers),,,,Terrier,
24,American Pit Bull Terrier,United States,,,,,,,Terrier,
25,American Staffordshire Terrier,United States,Group 03 Section 03 #286,Terrier Group,Group 02 (Terriers),Group 04 - Terriers,,Terrier,,
26,American Water Spaniel,United States,Group 08 Section 03 #301,Sporting Group,,Group 01 - Sporting Dogs,Gundog,,Gun Dog,
27,Anatolian Shepherd Dog,Turkey,See Kangal Shepherd Dog,Working Group,Group 06 (Utility),"Group 03 - Working Dogs, listed",Pastoral,Utility,Guardian Dog,
28,Andalusian Hound,Spain,,,,,,,,
29,Anglo-Français de Petite Vénerie,France,Group 06 Section 01 #325,,,,,,Scenthound,
30,Appenzeller Sennenhund,Switzerland,Group 02 Section 03 #046,FSS,,,,,Guardian Dog,
31,Argentine Polar Dog,Argentina,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,
32,Ariegeois,France,Group 06 Section 01 #020,,,,,,Scenthound,
33,Armant,Egypt,,,,,,,,
34,Armenian Gampr dog,Armenia,,,,,,,,
35,Artois Hound,France,Group 06 Section 01 #028,,,,,,Scenthound,
36,Australian Cattle Dog,Australia,Group 01 Section 02 #287,Herding Group,Group 05 (Working Dogs),Group 07 - Herding Dogs,Pastoral,Working,Herding Dog,
37,Australian Kelpie,Australia,Group 01 Section 01 #293,FSS (as Working Kelpie and Australian Kelpie),Group 05 (Working Dogs),"Group 07 - Herding Dogs, listed",,Working,Herding Dog,
38,Australian Shepherd,United States,Group 01 Section 01 #342,Herding Group,Group 05 (Working Dogs),Group 07 - Herding Dogs,Pastoral,Working,Herding Dog,
39,Australian Stumpy Tail Cattle Dog[10],Australia,Group 01 Section 02 #351 Provisional,FSS,Group 05 (Working Dogs),Group 07 - Herding Dogs,,Working,Herding Dog,
40,Australian Terrier,Australia,Group 03 Section 02 #008,Terrier Group,Group 02 (Terriers),Group 04 - Terriers,Terrier,Terrier,Terrier,
41,Austrian Black and Tan Hound,Austria,Group 06 Section 01 #063,,,,,,Scenthound,
42,Austrian Pinscher,Austria,Group 02 Section 01 #064,,,,,,Terrier,
43,Azawakh,Mali,Group 10 Section 03 #307,Hound Group,Group 04 (Hounds),,Hound,Hound,Sighthound and Pariah,
44,Bakharwal dog,India,,,,,,,,
45,Barbado da Terceira,Portugal,,,,,,,,
46,Barbet,France,Group 08 Section 03 #105,Miscellaneous,,Group 01 - Sporting Dogs,Gundog,,Gun Dog,
47,Basenji,Democratic Republic of the Congo,Group 05 Section 06 #043,Hound Group,Group 04 (Hounds),Group 02 - Hounds,Hound,Hound,Sighthound and Pariah,
48,Basque Shepherd Dog,Spain,,,,,,,,
49,Basset Artésien Normand,France,Group 06 Section 01 #034,,,,,,Scenthound,
50,Basset Bleu de Gascogne,France,Group 06 Section 01 #035,,,,Hound,,Scenthound,
51,Basset Fauve de Bretagne,France,Group 06 Section 01 #036,FSS,Group 04 (Hounds),,Hound,Hound,Scenthound,
52,Basset Hound,France,Group 06 Section 01 #163,Hound Group,Group 04 (Hounds),Group 02 - Hounds,Hound,Hound,Scenthound,
53,Bavarian Mountain Hound,Germany,Group 06 Section 02 #217,FSS,,,Hound,,Scenthound,
54,Beagle,United Kingdom (England),Group 06 Section 01 #161,Hound Group,Group 04 (Hounds),Group 02 - Hounds,Hound,Hound,Scenthound,
55,Beagle-Harrier,France,Group 06 Section 01 #290,,,,,,Scenthound,
56,Bearded Collie,United Kingdom (Scotland),Group 01 Section 01 #271,Herding Group,Group 05 (Working Dogs),Group 07 - Herding Dogs,Pastoral,Working,Herding Dog,
57,Beauceron,France,Group 01 Section 01 #044,Herding Group,,"Group 07 - Herding Dogs, listed",Pastoral,Working,Herding Dog,
58,Bedlington Terrier,United Kingdom (England),Group 03 Section 01 #009,Terrier Group,Group 02 (Terriers),Group 04 - Terriers,Terrier,Terrier,Terrier,
59,Belgian Shepherd Dog (Groenendael),Belgium,Group 01 Section 01 #015,Herding Group,Group 05 (Working Dogs),Group 07 - Herding Dogs,Pastoral,Working,Herding Dog,
60,Belgian Shepherd Dog (Laekenois),Belgium,Group 01 Section 01 #015,Miscellaneous,Group 05 (Working Dogs),Group 07 - Herding Dogs,Pastoral,Working,Herding Dog,
61,Belgian Shepherd Dog (Malinois),Belgium,Group 01 Section 01 #015,Herding Group,Group 05 (Working Dogs),Group 07 - Herding Dogs,Pastoral,Working,Herding Dog,
62,Belgian Shepherd Dog (Tervuren),Belgium,Group 01 Section 01 #015,Herding Group,Group 05 (Working Dogs),Group 07 - Herding Dogs,Pastoral,Working,Herding Dog,
63,Bergamasco Shepherd,Italy,Group 01 Section 01 #194,Herding Group,Group 05 (Working Dogs),,Pastoral,Working,Herding Dog,
64,Berger Blanc Suisse,Switzerland,Group 01 Section 01 #347,,Group 05 (Working Dogs),,Pastoral,Working,,
65,Berger Picard,France,Group 01 Section 01 #176,Herding Group,,Group 07 - Herding Dogs,Pastoral,,Herding Dog,
66,Bernese Mountain Dog,Switzerland,Group 02 Section 03 #045,Working Group,Group 06 (Utility),Group 03 - Working Dogs,Working,Utility,Guardian Dog,
67,Bichon Frisé,Spain,Group 09 Section 01 #215,Non-Sporting Group,Group 01 (Toys),Group 06 - Non-Sporting,Toy,Toy,Companion Dog,
68,Billy,France,Group 06 Section 01 #025,,,,,,Scenthound,
69,Black and Tan Coonhound,United States,Group 06 Section 01 #300,Hound Group,,Group 02 - Hounds,Hound,Hound,Scenthound,
70,Black and Tan Virginia Foxhound,United States,,,,,,,,
71,Black Norwegian Elkhound,Norway,Group 05 Section 02 #268,,,,,,,
72,Black Russian Terrier,Russia,Group 02 Section 01 #327,Working Group,Group 06 (Utility),"Group 03 - Working Dogs, listed",Working,Utility,Guardian Dog,
73,Black Mouth Cur,United States,,,,,,,Scenthound,
74,Bloodhound,"Belgium, France",Group 06 Section 01 #084,Hound Group,Group 04 (Hounds),Group 02 - Hounds,Hound,Hound,Scenthound,
75,Blue Heeler,Australia,See Australian Cattle Dog,,,,,,,
76,Blue Lacy,United States,,,,,,,,
77,Blue Paul Terrier,United Kingdom (Scotland),Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,
78,Blue Picardy Spaniel,France,Group 07 Section 01 #106,,,Group 01 - Sporting Dogs,,,Gun Dog,
79,Bluetick Coonhound,United States,,Hound Group,Group 04 (Hounds),,,Hound,Scenthound,
80,Boerboel,South Africa,,Working Group,,,,,Guardian Dog,
81,Bohemian Shepherd,Czech Republic,,,,,,,,
82,Bolognese,Italy,Group 09 Section 01 #196,FSS,,,Toy,Toy,Companion Dog,
83,Border Collie,"United Kingdom (Scotland, England, Wales)",Group 01 Section 01 #297,Herding Group,Group 05 (Working Dogs),"Group 07 - Herding Dogs, listed",Pastoral,Working,Herding Dog,
84,Border Terrier,"United Kingdom (Scotland, England)",Group 03 Section 01 #010,Terrier Group,Group 02 (Terriers),Group 04 - Terriers,Terrier,Terrier,Terrier,
85,Borzoi,Russia,Group 10 Section 01 #193,Hound Group,Group 04 (Hounds),Group 02 - Hounds,Hound,Hound,Sighthound and Pariah,
